"Último: Tiempo (s)","Último: Angulo (rad)","Último: Velocidad (rad/s)","Último: Aceleración (rad/s²)"
0,0,-28.487651902,-42.6646813014
0.05,-1.36135681656,-30.3444883006,-50.1932990871
0.1,-2.91469985083,-33.0856248536,-59.6369309133
0.15,-4.6425758103,-36.3804186305,-67.4736747275
0.2,-6.54498469498,-40.0843951541,-69.9042073154
0.25,-8.65683308989,-43.681712668,-62.1143288238
0.3,-10.9257611175,-46.939660605,-31.6206256457
0.35,-13.3517687778,-48.8983078767,48.4167262868
0.4,-15.9872159483,-45.6403599397,192.63802278
0.45,-18.5528499487,-29.6802935575,326.548948321
0.5,-19.3207948196,-6.63225115758,331.995022005
0.55,-18.8146493365,9.18237112021,218.144609225
0.6,-17.959438003,15.5334303427,83.7758040957
0.65,-17.0169602069,15.4073787857,-11.6732360774
0.7,-16.3188285061,12.2657861321,-59.152655914
0.75,-15.777776438,8.39697295682,-77.1661775766
0.8,-15.4636171727,4.12091628943,-81.7018789043
0.85,-15.3763507101,0.0387850944888,-80.2797587731
0.9,-15.4636171727,-3.95607963785,-76.0403324727
0.95,-15.777776438,-7.76671517137,-64.6202768732
1,-16.2490153361,-11.0537519293,-36.7381033907
1.05,-16.9296937443,-12.7021184451,16.2897396853
1.1,-17.7150919077,-10.0938208407,78.7445154495
1.15,-18.1514242207,-3.25794793706,107.343135816
1.2,-18.0117978806,3.19977029532,82.4129389699
1.25,-17.6627320302,6.21531139182,28.1515144164
1.3,-17.2438530097,5.7692828052,-23.6373603634
1.35,-16.9820536219,2.79252680319,-51.9989607083
1.4,-16.9471470369,-0.698131700798,-50.5660669397
1.45,-17.086773377,-3.30642930517,-25.339595066
1.5,-17.3834793499,-3.6264063347,8.01558619434
1.55,-17.5580122751,-1.72593670475,25.8136351097
1.6,-17.5405589825,0.0678739153553,20.9224037492
1.65,-17.488199105,0.698131700798,7.33146022211
1.7,-17.4358392274,0.504206228354,-1.86922608161
1.75,-17.4358392274,0.145444104333,-3.57684760285
1.8,-17.4358392274,0.0290888208666,-1.95541518048
1.85,-17.4358392274,0,-0.667965516195
1.9,-17.4358392274,0,-0.129283648296
1.95,-17.4358392274,0,-0.016160456037
2,-17.4358392274,0,0
2.05,-17.4358392274,0,0
2.1,-17.4358392274,0,0
2.15,-17.4358392274,0,0
2.2,-17.4358392274,0,0
2.25,-17.4358392274,0,0
2.3,-17.4358392274,0,0
2.35,-17.4358392274,0,0
2.4,-17.4358392274,0,0
2.45,-17.4358392274,0,0
2.5,-17.4358392274,0,0
2.55,-17.4358392274,0,0
2.6,-17.4358392274,0,0
2.65,-17.4358392274,0,0
2.7,-17.4358392274,0,0
